"repo","repo_url","stars","path","raw_url","version_hint","matched_query"
"alexjustesen/speedtest-tracker","https://github.com/alexjustesen/speedtest-tracker","5236","openapi.json","https://raw.githubusercontent.com/alexjustesen/speedtest-tracker/1.x/openapi.json","openapi-3","filename:openapi.json openapi"
"PokeAPI/pokeapi","https://github.com/PokeAPI/pokeapi","4969","openapi.yml","https://raw.githubusercontent.com/PokeAPI/pokeapi/master/openapi.yml","openapi-3","filename:openapi.yml ""openapi: 3"""
"alextselegidis/easyappointments","https://github.com/alextselegidis/easyappointments","4040","openapi.yml","https://raw.githubusercontent.com/alextselegidis/easyappointments/main/openapi.yml","openapi-3","filename:openapi.yml ""openapi: 3"""
"JetBrains/intellij-plugins","https://github.com/JetBrains/intellij-plugins","2248","CloudFormation/testData/serverless-application-model/src/2016-10-31_api_swagger_cors_swagger.yaml","https://raw.githubusercontent.com/JetBrains/intellij-plugins/master/CloudFormation/testData/serverless-application-model/src/2016-10-31_api_swagger_cors_swagger.yaml","swagger-2.0","filename:swagger.yaml ""swagger: 2.0"""
"tus/tus-resumable-upload-protocol","https://github.com/tus/tus-resumable-upload-protocol","1687","OpenAPI/openapi3.yaml","https://raw.githubusercontent.com/tus/tus-resumable-upload-protocol/main/OpenAPI/openapi3.yaml","openapi-3","path:/openapi/ extension:yaml ""openapi: 3"""
"formancehq/ledger","https://github.com/formancehq/ledger","1144","openapi/v1.yaml","https://raw.githubusercontent.com/formancehq/ledger/main/openapi/v1.yaml","openapi-3","path:/openapi/ extension:yaml ""openapi: 3"""
"php/web-php","https://github.com/php/web-php","1062","openapi.yml","https://raw.githubusercontent.com/php/web-php/master/openapi.yml","openapi-3","filename:openapi.yml ""openapi: 3"""
"jamsocket/y-sweet","https://github.com/jamsocket/y-sweet","972","openapi/document.yml","https://raw.githubusercontent.com/jamsocket/y-sweet/main/openapi/document.yml","openapi-3","path:/openapi/ extension:yml ""openapi: 3"""
"taozhi1010/nest-admin","https://github.com/taozhi1010/nest-admin","910","server/openApi.json","https://raw.githubusercontent.com/taozhi1010/nest-admin/master/server/openApi.json","openapi-3","filename:openapi.json openapi"
"GoogleChrome/chromium-dashboard","https://github.com/GoogleChrome/chromium-dashboard","714","openapi/api.yaml","https://raw.githubusercontent.com/GoogleChrome/chromium-dashboard/main/openapi/api.yaml","openapi-3","path:/openapi/ extension:yaml ""openapi: 3"""
"langchain-ai/agent-protocol","https://github.com/langchain-ai/agent-protocol","519","openapi.json","https://raw.githubusercontent.com/langchain-ai/agent-protocol/main/openapi.json","openapi-3","filename:openapi.json openapi"
"fredlcore/BSB-LAN","https://github.com/fredlcore/BSB-LAN","312","openapi.yaml","https://raw.githubusercontent.com/fredlcore/BSB-LAN/master/openapi.yaml","openapi-3","filename:openapi.yaml ""openapi: 3"""
"bluewave-labs/capture","https://github.com/bluewave-labs/capture","248","openapi.yml","https://raw.githubusercontent.com/bluewave-labs/capture/develop/openapi.yml","openapi-3","filename:openapi.yml ""openapi: 3"""
"BoschSmartHome/bosch-shc-api-docs","https://github.com/BoschSmartHome/bosch-shc-api-docs","231","openapi/ShcInfo-local-openapi-v3.yml","https://raw.githubusercontent.com/BoschSmartHome/bosch-shc-api-docs/master/openapi/ShcInfo-local-openapi-v3.yml","openapi-3","path:/openapi/ extension:yml ""openapi: 3"""
"jentic/jentic-public-apis","https://github.com/jentic/jentic-public-apis","211","apis/openapi/apimatic.io/main/1.0/openapi.json","https://raw.githubusercontent.com/jentic/jentic-public-apis/main/apis/openapi/apimatic.io/main/1.0/openapi.json","openapi-3","filename:openapi.json openapi"
"MAIF/izanami","https://github.com/MAIF/izanami","207","swagger.json","https://raw.githubusercontent.com/MAIF/izanami/main/swagger.json","swagger-2.0","filename:swagger.json swagger"
"solana-foundation/kora","https://github.com/solana-foundation/kora","149","openapi.json","https://raw.githubusercontent.com/solana-foundation/kora/main/openapi.json","openapi-3","filename:openapi.json openapi"
"ballerina-platform/openapi-connectors","https://github.com/ballerina-platform/openapi-connectors","120","openapi/activecampaign/openapi.yaml","https://raw.githubusercontent.com/ballerina-platform/openapi-connectors/main/openapi/activecampaign/openapi.yaml","openapi-3","path:/openapi/ extension:yaml ""openapi: 3"""
"ballerina-platform/openapi-connectors","https://github.com/ballerina-platform/openapi-connectors","120","openapi/uber/openapi.yml","https://raw.githubusercontent.com/ballerina-platform/openapi-connectors/main/openapi/uber/openapi.yml","openapi-3","path:/openapi/ extension:yml ""openapi: 3"""
"CFBD/cfb-api","https://github.com/CFBD/cfb-api","61","swagger.json","https://raw.githubusercontent.com/CFBD/cfb-api/main/swagger.json","swagger-2.0","filename:swagger.json swagger"
"serverless-projects/aws-sam-examples","https://github.com/serverless-projects/aws-sam-examples","60","samples_3/api_swagger_cors/swagger.yaml","https://raw.githubusercontent.com/serverless-projects/aws-sam-examples/master/samples_3/api_swagger_cors/swagger.yaml","swagger-2.0","filename:swagger.yaml ""swagger: 2.0"""
"kontext-dev/agent-browser","https://github.com/kontext-dev/agent-browser","57","openapi.yaml","https://raw.githubusercontent.com/kontext-dev/agent-browser/main/openapi.yaml","openapi-3","filename:openapi.yaml ""openapi: 3"""
"gfleury/go-bitbucket-v1","https://github.com/gfleury/go-bitbucket-v1","54","docs/bitbucketV1-rest-swagger.json","https://raw.githubusercontent.com/gfleury/go-bitbucket-v1/master/docs/bitbucketV1-rest-swagger.json","swagger-2.0","filename:swagger.json swagger"
"Veridax/privapi","https://github.com/Veridax/privapi","46","APIs/openapi-converter.herokuapp.com/1.0.0/swagger.yaml","https://raw.githubusercontent.com/Veridax/privapi/master/APIs/openapi-converter.herokuapp.com/1.0.0/swagger.yaml","swagger-2.0","filename:swagger.yaml ""swagger: 2.0"""
"flow-hydraulics/flow-wallet-api","https://github.com/flow-hydraulics/flow-wallet-api","44","openapi.yml","https://raw.githubusercontent.com/flow-hydraulics/flow-wallet-api/main/openapi.yml","openapi-3","filename:openapi.yml ""openapi: 3"""
"Maclean-D/context-server","https://github.com/Maclean-D/context-server","42","openapi.yml","https://raw.githubusercontent.com/Maclean-D/context-server/main/openapi.yml","openapi-3","filename:openapi.yml ""openapi: 3"""
"minhlucvan/n8n-nodes-firecrawl","https://github.com/minhlucvan/n8n-nodes-firecrawl","42","openapi.json","https://raw.githubusercontent.com/minhlucvan/n8n-nodes-firecrawl/main/openapi.json","openapi-3","filename:openapi.json openapi"
"kennyk65/aws-teaching-demos","https://github.com/kennyk65/aws-teaching-demos","41","cloud-formation-demos/sam-cors-demo.swagger.yaml","https://raw.githubusercontent.com/kennyk65/aws-teaching-demos/master/cloud-formation-demos/sam-cors-demo.swagger.yaml","swagger-2.0","filename:swagger.yaml ""swagger: 2.0"""
"aws-samples/aws-codepipeline-codebuild-with-postman","https://github.com/aws-samples/aws-codepipeline-codebuild-with-postman","39","01api/petstore-swagger.json","https://raw.githubusercontent.com/aws-samples/aws-codepipeline-codebuild-with-postman/master/01api/petstore-swagger.json","swagger-2.0","filename:swagger.json swagger"
"ethersphere/bee-docs","https://github.com/ethersphere/bee-docs","38","openapi/Swarm.yaml","https://raw.githubusercontent.com/ethersphere/bee-docs/master/openapi/Swarm.yaml","openapi-3","path:/openapi/ extension:yaml ""openapi: 3"""
"sunilmallya/dl-twitch-series","https://github.com/sunilmallya/dl-twitch-series","38","lambda_deployment/swagger.yaml","https://raw.githubusercontent.com/sunilmallya/dl-twitch-series/master/lambda_deployment/swagger.yaml","swagger-2.0","filename:swagger.yaml ""swagger: 2.0"""
"ivan1993spb/snake-server","https://github.com/ivan1993spb/snake-server","35","openapi.yaml","https://raw.githubusercontent.com/ivan1993spb/snake-server/master/openapi.yaml","openapi-3","filename:openapi.yaml ""openapi: 3"""
"heldersepu/Swagger-Net-Test","https://github.com/heldersepu/Swagger-Net-Test","28","swagger.json","https://raw.githubusercontent.com/heldersepu/Swagger-Net-Test/master/swagger.json","swagger-2.0","filename:swagger.json swagger"
"DSGT-DLP/Deep-Learning-Playground","https://github.com/DSGT-DLP/Deep-Learning-Playground","27","openapi/openapi.yaml","https://raw.githubusercontent.com/DSGT-DLP/Deep-Learning-Playground/nextjs/openapi/openapi.yaml","openapi-3","path:/openapi/ extension:yaml ""openapi: 3"""
"Mistrymm7/AEC-Design-Technologist","https://github.com/Mistrymm7/AEC-Design-Technologist","27","openapi.json","https://raw.githubusercontent.com/Mistrymm7/AEC-Design-Technologist/main/openapi.json","openapi-3","filename:openapi.json openapi"
"GRAPHISOFT/bimcloud-api","https://github.com/GRAPHISOFT/bimcloud-api","24","openapi/2020.2.yaml","https://raw.githubusercontent.com/GRAPHISOFT/bimcloud-api/master/openapi/2020.2.yaml","openapi-3","path:/openapi/ extension:yaml ""openapi: 3"""
"ShipStream/ups-rest-php-sdk","https://github.com/ShipStream/ups-rest-php-sdk","22","openapi/Base.yaml","https://raw.githubusercontent.com/ShipStream/ups-rest-php-sdk/main/openapi/Base.yaml","openapi-3","path:/openapi/ extension:yaml ""openapi: 3"""
"sunilmallya/keras-lambda","https://github.com/sunilmallya/keras-lambda","22","src/swagger.yaml","https://raw.githubusercontent.com/sunilmallya/keras-lambda/master/src/swagger.yaml","swagger-2.0","filename:swagger.yaml ""swagger: 2.0"""
"alexdilley/sapper-serverless-template","https://github.com/alexdilley/sapper-serverless-template","21","swagger.yaml","https://raw.githubusercontent.com/alexdilley/sapper-serverless-template/master/swagger.yaml","swagger-2.0","filename:swagger.yaml ""swagger: 2.0"""
"xhiroga/til","https://github.com/xhiroga/til","21","software-engineering/aws/api-gateway/_src/api-gateway-vtl-server/cfn/swagger.yaml","https://raw.githubusercontent.com/xhiroga/til/main/software-engineering/aws/api-gateway/_src/api-gateway-vtl-server/cfn/swagger.yaml","swagger-2.0","filename:swagger.yaml ""swagger: 2.0"""
"matthewpi/access-oidc","https://github.com/matthewpi/access-oidc","19","openapi.yaml","https://raw.githubusercontent.com/matthewpi/access-oidc/master/openapi.yaml","openapi-3","filename:openapi.yaml ""openapi: 3"""
"mccallofthewild/1inch-widget","https://github.com/mccallofthewild/1inch-widget","19","swagger.json","https://raw.githubusercontent.com/mccallofthewild/1inch-widget/master/swagger.json","swagger-2.0","filename:swagger.json swagger"
"gravitee-io/gravitee-kubernetes-operator","https://github.com/gravitee-io/gravitee-kubernetes-operator","18","openapi/openapi.yml","https://raw.githubusercontent.com/gravitee-io/gravitee-kubernetes-operator/master/openapi/openapi.yml","openapi-3","path:/openapi/ extension:yml ""openapi: 3"""
"hatgit/forex-gpt","https://github.com/hatgit/forex-gpt","18","openapi.yaml","https://raw.githubusercontent.com/hatgit/forex-gpt/main/openapi.yaml","openapi-3","filename:openapi.yaml ""openapi: 3"""
"Pocket/proxy-server","https://github.com/Pocket/proxy-server","18","openapi/openapi.yml","https://raw.githubusercontent.com/Pocket/proxy-server/main/openapi/openapi.yml","openapi-3","path:/openapi/ extension:yml ""openapi: 3"""
"Reborn14/Intelligent-Accounting-Assistant","https://github.com/Reborn14/Intelligent-Accounting-Assistant","18","openapi.json","https://raw.githubusercontent.com/Reborn14/Intelligent-Accounting-Assistant/main/openapi.json","openapi-3","filename:openapi.json openapi"
"AlexHolly/godot-rest-server","https://github.com/AlexHolly/godot-rest-server","17","swagger.json","https://raw.githubusercontent.com/AlexHolly/godot-rest-server/master/swagger.json","swagger-2.0","filename:swagger.json swagger"
"Azure/autorest.testserver","https://github.com/Azure/autorest.testserver","17","swagger.json","https://raw.githubusercontent.com/Azure/autorest.testserver/main/swagger.json","swagger-2.0","filename:swagger.json swagger"
"microsoft/Windows-tutorials-web","https://github.com/microsoft/Windows-tutorials-web","17","Single-Page-App-with-REST-API/backend/config/swagger.json","https://raw.githubusercontent.com/microsoft/Windows-tutorials-web/master/Single-Page-App-with-REST-API/backend/config/swagger.json","swagger-2.0","filename:swagger.json swagger"
"umr-ds/mesa_dna_sim","https://github.com/umr-ds/mesa_dna_sim","16","swagger.json","https://raw.githubusercontent.com/umr-ds/mesa_dna_sim/master/swagger.json","swagger-2.0","filename:swagger.json swagger"
"Benzinga/doc-site-mintlify","https://github.com/Benzinga/doc-site-mintlify","15","openapi/calendar-v2-2.yml","https://raw.githubusercontent.com/Benzinga/doc-site-mintlify/main/openapi/calendar-v2-2.yml","openapi-3","path:/openapi/ extension:yml ""openapi: 3"""
"Benzinga/doc-site-mintlify","https://github.com/Benzinga/doc-site-mintlify","15","openapi/delayed-quote-v2.yml","https://raw.githubusercontent.com/Benzinga/doc-site-mintlify/main/openapi/delayed-quote-v2.yml","openapi-3","path:/openapi/ extension:yml ""openapi: 3"""
"nasa/uam-apis","https://github.com/nasa/uam-apis","13","openapi/fidxp/fidxp_api.yml","https://raw.githubusercontent.com/nasa/uam-apis/master/openapi/fidxp/fidxp_api.yml","openapi-3","path:/openapi/ extension:yml ""openapi: 3"""
"nasa/uam-apis","https://github.com/nasa/uam-apis","13","openapi/rps/rps_ss_api.yml","https://raw.githubusercontent.com/nasa/uam-apis/master/openapi/rps/rps_ss_api.yml","openapi-3","path:/openapi/ extension:yml ""openapi: 3"""
"jessecascio/jessesnet","https://github.com/jessecascio/jessesnet","12","development-notes/aws/sam-templates/swagger.yml","https://raw.githubusercontent.com/jessecascio/jessesnet/master/development-notes/aws/sam-templates/swagger.yml","swagger-2.0","filename:swagger.yml ""swagger: 2.0"""
"denrockit/codefest-gatling","https://github.com/denrockit/codefest-gatling","11","app/public/docs/swagger.yml","https://raw.githubusercontent.com/denrockit/codefest-gatling/gh-pages/app/public/docs/swagger.yml","swagger-2.0","filename:swagger.yml ""swagger: 2.0"""
"GeyserMC/GeyserWebsite","https://github.com/GeyserMC/GeyserWebsite","11","openapi/global.yaml","https://raw.githubusercontent.com/GeyserMC/GeyserWebsite/master/openapi/global.yaml","openapi-3","path:/openapi/ extension:yaml ""openapi: 3"""
"lubaskinc0de/loyalty","https://github.com/lubaskinc0de/loyalty","11","docs/openapi.yml","https://raw.githubusercontent.com/lubaskinc0de/loyalty/master/docs/openapi.yml","openapi-3","filename:openapi.yml ""openapi: 3"""
