"repo","repo_url","stars","path","raw_url","version_hint","matched_query"
"0010aor/GraphTreeVisualizer","https://github.com/0010aor/GraphTreeVisualizer","0","frontend/openapi.json","https://raw.githubusercontent.com/0010aor/GraphTreeVisualizer/142a60fc1aa8bb856b97f0d9d58a7b0aada2a0b3/frontend/openapi.json","openapi-3","filename:openapi.json openapi"
"00shiki/kururen-api","https://github.com/00shiki/kururen-api","0","docs/swagger.json","https://raw.githubusercontent.com/00shiki/kururen-api/26cf99a4d35d12dbf7991a3ac68acfd454b0c8ce/docs/swagger.json","swagger-2.0","filename:swagger.json swagger"
"052hide/LargeOpenAPISchema","https://github.com/052hide/LargeOpenAPISchema","0","_build/openapi.yml","https://raw.githubusercontent.com/052hide/LargeOpenAPISchema/93d5601ad54627fc16801f96e3ea57c1e2e99488/_build/openapi.yml","openapi-3","filename:openapi.yml ""openapi: 3"""
"0h-n0/local-voice-assistant-codex","https://github.com/0h-n0/local-voice-assistant-codex","0","specs/001-llm-service/contracts/llm.openapi.yaml","https://raw.githubusercontent.com/0h-n0/local-voice-assistant-codex/c40b09dfb388af7bec45a520640b7bc3f782c161/specs/001-llm-service/contracts/llm.openapi.yaml","openapi-3","filename:openapi.yaml ""openapi: 3"""
"0riva/oriva-platform","https://github.com/0riva/oriva-platform","0","docs/openapi.yml","https://raw.githubusercontent.com/0riva/oriva-platform/961cca247ef06c98dfdea2cdcf6357f233338636/docs/openapi.yml","openapi-3","filename:openapi.yml ""openapi: 3"""
"0xYudhishthra/1prime","https://github.com/0xYudhishthra/1prime","0","packages/1prime-website/openapi.yaml","https://raw.githubusercontent.com/0xYudhishthra/1prime/85eed094d99c6e07d7963970f23c2133753394b1/packages/1prime-website/openapi.yaml","openapi-3","filename:openapi.yaml ""openapi: 3"""
"1-Thomas/UCENPulse","https://github.com/1-Thomas/UCENPulse","0","activity-server/openapi.yaml","https://raw.githubusercontent.com/1-Thomas/UCENPulse/bef6516d4c65ccd93608dfa780350c9552b54f21/activity-server/openapi.yaml","openapi-3","filename:openapi.yaml ""openapi: 3"""
"10kartik/L7-Load-Balancer-Rate-Limiter","https://github.com/10kartik/L7-Load-Balancer-Rate-Limiter","0","docs/openAPI.yaml","https://raw.githubusercontent.com/10kartik/L7-Load-Balancer-Rate-Limiter/593cee370461af6cdad8f0f768e5a1c85807793e/docs/openAPI.yaml","openapi-3","filename:openapi.yaml ""openapi: 3"""
"1121tamura/postal_api","https://github.com/1121tamura/postal_api","0","openapi/openapi.yml","https://raw.githubusercontent.com/1121tamura/postal_api/4ee9626938034e1302c4fba4778babd2d199e942/openapi/openapi.yml","openapi-3","path:/openapi/ extension:yml ""openapi: 3"""
"13rac1/openapi-wled","https://github.com/13rac1/openapi-wled","0","openapi/openapi.yaml","https://raw.githubusercontent.com/13rac1/openapi-wled/8cd237416689fd84fd7a839875f709724c8b7654/openapi/openapi.yaml","openapi-3","path:/openapi/ extension:yaml ""openapi: 3"""
